"","time","S","E","I","R"
"791",8.9,116083388.816325,0.49421488294307,10.3159800831786,38.985944621993
"792",8.91,116072481.716015,0.491432545139901,10.2999350250594,38.9988872166615
"793",8.92,116061575.706361,0.488666563058577,10.2839089049884,39.0117966977157
"794",8.93,116050670.787254,0.485916840485625,10.2679017396793,39.0246731425441
"795",8.94,116039766.958584,0.483183281773561,10.2519135455299,39.0375166282835
"796",8.95,116028864.220242,0.480465791837559,10.2359443386244,39.0503272318202
"797",8.96,116017962.572119,0.477764276152141,10.2199941347355,39.0631050297916
"798",8.97,116007062.014107,0.475078640747889,10.2040629493264,39.0758500985867
"799",8.98,115996162.546096,0.472408792208169,10.1881507975534,39.0885625143477
"800",8.99,115985264.167978,0.469754637665886,10.1722576942678,39.1012423529707
"801",9,115974366.879643,0.467116084800245,10.1563836540181,39.1138896901073
"802",9.01,115963470.680982,0.464493041833541,10.1405286910523,39.126504601165
"803",9.02,115952575.571887,0.461885417527963,10.1246928193198,39.1390871613092
"804",9.03,115941681.552248,0.459293121182417,10.1088760524736,39.1516374454633
"805",9.04,115930788.621956,0.456716062629372,10.0930784038726,39.1641555283106
"806",9.05,115919896.780903,0.454154152231716,10.0772998865833,39.1766414842948
"807",9.06,115909006.02898,0.451607300879643,10.0615405133823,39.1890953876215
"808",9.07,115898116.366078,0.449075419987542,10.0458002967581,39.201517312259
"809",9.08,115887227.792087,0.446558421490921,10.0300792489133,39.2139073319394
"810",9.09,115876340.306899,0.444056217843339,10.0143773817665,39.2262655201596
"811",9.1,115865453.910406,0.441568722013356,9.99869470695452,39.2385919501826
"812",9.11,115854568.602497,0.439095847481508,9.98303123583415,39.2508866950383
"813",9.12,115843684.383065,0.43663750823729,9.96738697948446,39.2631498275244
"814",9.13,115832801.252001,0.434193618776169,9.9517619487086,39.2753814202079
"815",9.14,115821919.209195,0.431764094096599,9.93615615403581,39.2875815454257
"816",9.15,115811038.25454,0.429348849697068,9.92056960572345,39.2997502752858
"817",9.16,115800158.387925,0.426947801573157,9.90500231375886,39.3118876816683
"818",9.17,115789279.609242,0.424560866214609,9.88945428786141,39.3239938362262
"819",9.18,115778401.918383,0.422187960602432,9.87392553748435,39.3360688103869
"820",9.19,115767525.315239,0.419829002206001,9.85841607181677,39.3481126753527
"821",9.2,115756649.799701,0.417483908980188,9.8429258997855,39.3601255021019
"822",9.21,115745775.37166,0.415152599362506,9.82745503005699,39.37210736139
"823",9.22,115734902.031007,0.412834992270271,9.81200347103924,39.3840583237505
"824",9.23,115724029.777634,0.410531007097777,9.79657123088363,39.3959784594959
"825",9.24,115713158.611432,0.408240563713492,9.78115831748676,39.4078678387186
"826",9.25,115702288.532292,0.405963582457268,9.7657647384924,39.4197265312921
"827",9.26,115691419.540106,0.403699984137566,9.7503905012932,39.4315546068718
"828",9.27,115680551.634765,0.401449690028705,9.73503561303262,39.4433521348958
"829",9.28,115669684.81616,0.399212621868115,9.71970008060668,39.4551191845861
"830",9.29,115658819.084182,0.396988701853616,9.70438391066581,39.4668558249496
"831",9.3,115647954.438724,0.394777852640711,9.68908710961662,39.4785621247787
"832",9.31,115637090.879675,0.39257999733989,9.67380968362366,39.4902381526525
"833",9.32,115626228.406929,0.390395059513955,9.65855163861124,39.5018839769377
"834",9.33,115615367.020375,0.388222963175362,9.64331298026515,39.5134996657895
"835",9.34,115604506.719905,0.386063632783571,9.62809371403445,39.5250852871523
"836",9.35,115593647.505412,0.383916993242421,9.61289384513315,39.5366409087612
"837",9.36,115582789.376785,0.381782969897511,9.59771337854199,39.5481665981421
"838",9.37,115571932.333917,0.379661488533607,9.58255231901012,39.5596624226135
"839",9.38,115561076.376699,0.377552475372053,9.56741067105684,39.5711284492864
"840",9.39,115550221.505023,0.375455857068207,9.55228843897327,39.5825647450663
"841",9.4,115539367.718779,0.373371560708887,9.53718562682404,39.5939713766532
"842",9.41,115528515.01786,0.371299513809829,9.52210223844896,39.6053484105427
"843",9.42,115517663.402157,0.36923964431317,9.5070382774647,39.6166959130274
"844",9.43,115506812.871561,0.367191880584935,9.49199374726643,39.628013950197
"845",9.44,115495963.425964,0.365156151412546,9.47696865102947,39.6393025879396
